"Class","Name","Icon Path"
"4Rnd_BombCluster_01_F","",""
"4Rnd_BombCluster_02_F","",""
"4Rnd_BombCluster_03_F","",""
"4Rnd_GAA_missiles","",""
"4Rnd_LG_Jian","",""
"4Rnd_Missile_AGM_01_F","",""
"4Rnd_Titan_long_missiles","",""
"4Rnd_Titan_long_missiles_O","",""
"5000Rnd_762x51_Belt","",""
"5000Rnd_762x51_Yellow_Belt","",""
"500Rnd_127x99_mag","",""
"500Rnd_127x99_mag_Tracer_Green","",""
"500Rnd_127x99_mag_Tracer_Red","",""
"500Rnd_127x99_mag_Tracer_Yellow","",""
"500Rnd_65x39_Belt","",""
"500Rnd_65x39_Belt_Tracer_Green_Splash","",""
"500Rnd_65x39_Belt_Tracer_Red_Splash","",""
"500Rnd_65x39_Belt_Tracer_Yellow_Splash","",""
"500Rnd_Cannon_30mm_Plane_CAS_02_F","",""
"50Rnd_127x108_Ball","",""
"50Rnd_570x28_SMG_03","","\a3\weapons_f_mod\data\m_adr97mag_ca.paa"
"5Rnd_127x108_APDS_Mag","","\A3\weapons_f\data\UI\M_5rnd_127x108_CA.paa"
"5Rnd_127x108_Mag","","\A3\Weapons_F_EPA\Data\ui\M_5rnd_127x108_ball_CA.paa"
"5Rnd_GAT_missiles","",""
"60Rnd_20mm_AP_shells","",""
"60Rnd_20mm_HE_shells","",""
"60Rnd_30mm_APFSDS_shells","",""
"60Rnd_30mm_APFSDS_shells_Tracer_Green","",""
"60Rnd_30mm_APFSDS_shells_Tracer_Red","",""
"60Rnd_30mm_APFSDS_shells_Tracer_Yellow","",""
"60Rnd_30mm_MP_shells_Tracer_Green","",""
"60Rnd_40mm_GPR_shells","",""
"60Rnd_40mm_GPR_Tracer_Green_shells","",""
"60Rnd_40mm_GPR_Tracer_Red_shells","",""
"60Rnd_40mm_GPR_Tracer_Yellow_shells","",""
"60Rnd_CMFlare_Chaff_Magazine","",""
"60Rnd_CMFlareMagazine","",""
"64Rnd_40mm_G_belt","",""
"680Rnd_35mm_AA_shells","",""
"680Rnd_35mm_AA_shells_Tracer_Green","",""
"680Rnd_35mm_AA_shells_Tracer_Red","",""
"680Rnd_35mm_AA_shells_Tracer_Yellow","",""
"6Rnd_12Gauge_Pellets","","\a3\Weapons_F_Enoch\MagazineProxies\data\UI\icon_6Rnd_12Gauge_Pellets_ca.paa"
"6Rnd_12Gauge_Slug","","\a3\Weapons_F_Enoch\MagazineProxies\data\UI\icon_6Rnd_12Gauge_Slug_ca.paa"
"6Rnd_155mm_Mo_AT_mine","",""
"6Rnd_155mm_Mo_AT_mine_O","",""
"6Rnd_155mm_Mo_mine","",""
"6Rnd_155mm_Mo_mine_O","",""
"6Rnd_155mm_Mo_smoke","",""
"6Rnd_155mm_Mo_smoke_O","",""
"6Rnd_45ACP_Cylinder","","\A3\Weapons_F_EPA\Data\ui\M_6Rnd_revolver_CA.paa"
"6Rnd_AAT_missiles","",""
"6Rnd_GreenSignal_F","","\A3\Weapons_F_Kart\Pistols\Pistol_Signal_F\Data\UI\M_6Rnd_GreenSignal_CA.paa"
"6Rnd_LG_scalpel","",""
"6Rnd_Missile_AGM_02_F","",""
"6Rnd_RedSignal_F","","\A3\Weapons_F_Kart\Pistols\Pistol_Signal_F\Data\UI\M_6Rnd_RedSignal_CA.paa"
"75rnd_762x39_AK12_Arid_Mag_F","","\a3\Weapons_F_Enoch\MagazineProxies\data\UI\icon_75rnd_762x39_AK12_Arid_Mag_F_CA.paa"
"75rnd_762x39_AK12_Arid_Mag_Tracer_F","","\a3\Weapons_F_Enoch\MagazineProxies\data\UI\icon_75rnd_762x39_AK12_Arid_Mag_Tracer_F_CA.paa"
"75rnd_762x39_AK12_Lush_Mag_F","","\a3\Weapons_F_Enoch\MagazineProxies\data\UI\icon_75rnd_762x39_AK12_Lush_Mag_F_CA.paa"
"75rnd_762x39_AK12_Lush_Mag_Tracer_F","","\a3\Weapons_F_Enoch\MagazineProxies\data\UI\icon_75rnd_762x39_AK12_Lush_Mag_Tracer_F_CA.paa"
"75rnd_762x39_AK12_Mag_F","","\a3\Weapons_F_Enoch\MagazineProxies\data\UI\icon_75rnd_762x39_AK12_Mag_F_CA.paa"
"75rnd_762x39_AK12_Mag_Tracer_F","","\a3\Weapons_F_Enoch\MagazineProxies\data\UI\icon_75rnd_762x39_AK12_Mag_Tracer_F_CA.paa"
"75Rnd_762x39_Mag_F","","\a3\Weapons_F_Enoch\MagazineProxies\data\UI\icon_75Rnd_762x39_Mag_F_CA.paa"
"75Rnd_762x39_Mag_Tracer_F","","\a3\Weapons_F_Enoch\MagazineProxies\data\UI\icon_75Rnd_762x39_Mag_Tracer_F_CA.paa"
"7Rnd_408_Mag","","\A3\weapons_f\data\UI\m_M24_CA.paa"
"7Rnd_Rocket_04_AP_F","",""
"7Rnd_Rocket_04_HE_F","",""
"8Rnd_120mm_HE_shells","",""
"8Rnd_120mm_HE_shells_Tracer_Green","",""
"8Rnd_120mm_HE_shells_Tracer_Red","",""
"8Rnd_120mm_HE_shells_Tracer_Yellow","",""
"8Rnd_120mm_HEAT_MP","",""
"8Rnd_120mm_HEAT_MP_T_Green","",""
"8Rnd_120mm_HEAT_MP_T_Red","",""
"8Rnd_120mm_HEAT_MP_T_Yellow","",""
"8Rnd_125mm_HE","",""
"8Rnd_125mm_HE_T_Green","",""
"8Rnd_125mm_HE_T_Red","",""
"8Rnd_125mm_HE_T_Yellow","",""
"8Rnd_82mm_Mo_Flare_white","",""
"8Rnd_82mm_Mo_guided","",""
"8Rnd_82mm_Mo_LG","",""
"8Rnd_82mm_Mo_shells","",""
"8Rnd_82mm_Mo_Smoke_white","",""
"8Rnd_LG_scalpel","",""
"8rnd_SPG9_HE","","\a3\Weapons_F_Tank\Launchers\Vorona\Data\UI\icon_rocket_vorona_HE_F_ca.paa"
"96Rnd_40mm_G_belt","",""
"9Rnd_45ACP_Mag","","\A3\Weapons_F\Data\UI\M_30Rnd_45ACP_CA.paa"
"Antibiotic","","\a3\Missions_F_Oldman\Props\data\Antibiotic_ca.paa"
"Antimalaricum","","\a3\Missions_F_Oldman\Props\data\Antimalaricum_ca.paa"
"AntimalaricumVaccine","","\a3\Missions_F_Oldman\Props\data\AntimalaricumVaccine_ca.paa"
"APERSBoundingMine_Range_Mag","","\A3\Weapons_F\Data\UI\gear_mine_AP_bouncing_CA.paa"
"APERSMine_Range_Mag","","\A3\Weapons_F\Data\UI\gear_mine_AP_CA.paa"
"APERSMineDispenser_Mag","","\A3\Weapons_F_Orange\Explosives\Data\UI\gear_APERSmineDispenser_CA.paa"
"APERSTripMine_Wire_Mag","","\A3\Weapons_F\Data\UI\gear_mine_AP_tripwire_CA.paa"
"ATMine_Range_Mag","","\A3\Weapons_F\Data\UI\gear_mine_AT_CA.paa"
"B_IR_Grenade","","\A3\Weapons_F_EPB\Ammo\Data\UI\gear_B_IRstrobe_CA.paa"
"Bandage","","\a3\Missions_F_Oldman\Props\data\Bandage_ca.paa"
"ButaneCanister","","\a3\Missions_F_Oldman\Props\data\ButaneCanister_ca.paa"
"CA_LauncherMagazine","",""
"CA_Magazine","",""
"CBA_FakeLauncherMagazine","",""
"Chemlight_blue","","\A3\Weapons_F\Data\UI\M_chemlight_blue_CA.paa"
"Chemlight_green","","\A3\Weapons_F\Data\UI\M_chemlight_green_CA.paa"
"Chemlight_red","","\A3\Weapons_F\Data\UI\M_chemlight_red_CA.paa"
"Chemlight_yellow","","\A3\Weapons_F\Data\UI\M_chemlight_yellow_CA.paa"
"ClaymoreDirectionalMine_Remote_Mag","","\A3\Weapons_F\Data\UI\gear_mine_AP_miniclaymore_CA.paa"
"Csat_Id_01","","\a3\Missions_F_Oldman\Props\data\Csat_Id_01_ca.paa"
"Csat_Id_02","","\a3\Missions_F_Oldman\Props\data\Csat_Id_02_ca.paa"
"Csat_Id_03","","\a3\Missions_F_Oldman\Props\data\Csat_Id_03_ca.paa"
"Csat_Id_04","","\a3\Missions_F_Oldman\Props\data\Csat_Id_04_ca.paa"
"Csat_Id_05","","\a3\Missions_F_Oldman\Props\data\Csat_Id_05_ca.paa"
"CUP_100Rnd_127x99_M","",""
"CUP_100Rnd_23mm_AZP23_M","",""
"CUP_100Rnd_556x45_BetaCMag","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_ca.paa"
"CUP_100Rnd_556x45_BetaCMag_ar15","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_ca.paa"
"CUP_100Rnd_556x45_BetaCMag_camo","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_desert_ca.paa"
"CUP_100Rnd_556x45_BetaCMag_hex","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_hex_ca.paa"
"CUP_100Rnd_556x45_BetaCMag_wdl","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_wood_ca.paa"
"CUP_100Rnd_TE1_Green_Tracer_127x99_M","",""
"CUP_100Rnd_TE1_Green_Tracer_556x45_BetaCMag","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_ca.paa"
"CUP_100Rnd_TE1_Green_Tracer_556x45_BetaCMag_ar15","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_ca.paa"
"CUP_100Rnd_TE1_Green_Tracer_556x45_BetaCMag_camo","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_desert_ca.paa"
"CUP_100Rnd_TE1_Green_Tracer_556x45_BetaCMag_hex","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_hex_ca.paa"
"CUP_100Rnd_TE1_Green_Tracer_556x45_BetaCMag_wdl","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_wood_ca.paa"
"CUP_100Rnd_TE1_Green_Tracer_762x54_PKT_M","",""
"CUP_100Rnd_TE1_Red_Tracer_127x99_M","",""
"CUP_100Rnd_TE1_Red_Tracer_556x45_BetaCMag","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_ca.paa"
"CUP_100Rnd_TE1_Red_Tracer_556x45_BetaCMag_ar15","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_ca.paa"
"CUP_100Rnd_TE1_Red_Tracer_556x45_BetaCMag_camo","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_desert_ca.paa"
"CUP_100Rnd_TE1_Red_Tracer_556x45_BetaCMag_hex","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_hex_ca.paa"
"CUP_100Rnd_TE1_Red_Tracer_556x45_BetaCMag_wdl","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_wood_ca.paa"
"CUP_100Rnd_TE1_Red_Tracer_762x54_PKT_M","",""
"CUP_100Rnd_TE1_White_Tracer_127x99_M","",""
"CUP_100Rnd_TE1_White_Tracer_762x54_PKT_M","",""
"CUP_100Rnd_TE1_Yellow_Tracer_127x99_M","",""
"CUP_100Rnd_TE1_Yellow_Tracer_556x45_BetaCMag","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_ca.paa"
"CUP_100Rnd_TE1_Yellow_Tracer_556x45_BetaCMag_ar15","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_ca.paa"
"CUP_100Rnd_TE1_Yellow_Tracer_556x45_BetaCMag_camo","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_desert_ca.paa"
"CUP_100Rnd_TE1_Yellow_Tracer_556x45_BetaCMag_hex","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_hex_ca.paa"
"CUP_100Rnd_TE1_Yellow_Tracer_556x45_BetaCMag_wdl","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_g36_betac_wood_ca.paa"
"CUP_100Rnd_TE1_Yellow_Tracer_762x54_PKT_M","",""
"CUP_100Rnd_TE3_LRT5_127x107_DSHKM_M","",""
"CUP_100Rnd_TE3_LRT5_Green_Tracer_127x107_DSHKM_M","",""
"CUP_100Rnd_TE4_Green_Tracer_127x99_M","",""
"CUP_100Rnd_TE4_Green_Tracer_556x45_M249","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_m245_ca.paa"
"CUP_100Rnd_TE4_LRT4_762x54_PK_Tracer_Green_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_pk_ca.paa"
"CUP_100Rnd_TE4_LRT4_762x54_PK_Tracer_Red_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_pk_ca.paa"
"CUP_100Rnd_TE4_LRT4_762x54_PK_Tracer_Yellow_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_pk_ca.paa"
"CUP_100Rnd_TE4_LRT4_Green_Tracer_762x51_Belt_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_m240_ca.paa"
"CUP_100Rnd_TE4_LRT4_Red_Tracer_762x51_Belt_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_m240_ca.paa"
"CUP_100Rnd_TE4_LRT4_White_Tracer_762x51_Belt_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_m240_ca.paa"
"CUP_100Rnd_TE4_LRT4_Yellow_Tracer_762x51_Belt_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_m240_ca.paa"
"CUP_100Rnd_TE4_Red_Tracer_127x99_M","",""
"CUP_100Rnd_TE4_Red_Tracer_556x45_M249","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_m245_ca.paa"
"CUP_100Rnd_TE4_White_Tracer_127x99_M","",""
"CUP_100Rnd_TE4_White_Tracer_762x51_M240_M","",""
"CUP_100Rnd_TE4_Yellow_Tracer_127x99_M","",""
"CUP_100Rnd_TE4_Yellow_Tracer_556x45_M249","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_m245_ca.paa"
"CUP_10Rnd_127x99_M107","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_107_ca.paa"
"CUP_10Rnd_762x39_SaigaMk03_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_saiga_mk03_ca.paa"
"CUP_10Rnd_762x39_SKS_M","","\cup\weapons\CUP_Weapons_SKS\ui\sks_m_ca.paa"
"CUP_10Rnd_762x51_CZ750","","\CUP\Weapons\CUP_Weapons_CZ750\data\ui\cz750_mag_ca.paa"
"CUP_10Rnd_762x51_CZ750_Tracer","","\CUP\Weapons\CUP_Weapons_CZ750\data\ui\cz750_tracer_mag_ca.paa"
"CUP_10Rnd_762x51_FNFAL_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_10fal_ca.paa"
"CUP_10Rnd_762x54_SVD_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_svd_ca.paa"
"CUP_10Rnd_9x19_Compact","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_glock17_CA.paa"
"CUP_10Rnd_9x19_Saiga9","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_vityaz_ca.paa"
"CUP_10Rnd_9x39_SP5_VSS_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\M_VSSx10_CA.paa"
"CUP_10Rnd_B_765x17_Ball_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_10rnd_sa61_ca.paa"
"CUP_10Rnd_TE1_Green_Tracer_762x51_FNFAL_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_10fal_ca.paa"
"CUP_10Rnd_TE1_Red_Tracer_762x51_FNFAL_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_10fal_ca.paa"
"CUP_10Rnd_TE1_Yellow_Tracer_762x51_FNFAL_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_10fal_ca.paa"
"CUP_10Rnd_technical_HE","",""
"CUP_10x_303_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_M24_CA.paa"
"CUP_1100Rnd_TE1_Red_Tracer_20mm_M168_M","",""
"CUP_114Rnd_CRV7_C15_HE_M","",""
"CUP_114Rnd_CRV7_C15_KEP_M","",""
"CUP_114Rnd_CRV7_C18_HE_M","",""
"CUP_114Rnd_CRV7_C18_KEP_M","",""
"CUP_114Rnd_CRV7_FAT_M","",""
"CUP_1200Rnd_TE1_Green_Tracer_30x113mm_M789_HEDP_M","",""
"CUP_1200Rnd_TE1_Green_Tracer_M621_20mm_HE_M","",""
"CUP_1200Rnd_TE1_Red_Tracer_30x113mm_M789_HEDP_M","",""
"CUP_1200Rnd_TE1_Red_Tracer_GAU19_M","",""
"CUP_1200Rnd_TE1_Red_Tracer_M621_20mm_HE_M","",""
"CUP_1200Rnd_TE1_White_Tracer_30x113mm_M789_HEDP_M","",""
"CUP_1200Rnd_TE1_Yellow_Tracer_30x113mm_M789_HEDP_M","",""
"CUP_1200Rnd_TE1_Yellow_Tracer_M621_20mm_HE_M","",""
"CUP_1200Rnd_TE4_LRT4_Green_Tracer_762x51_Belt_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_m240_ca.paa"
"CUP_1200Rnd_TE4_LRT4_Red_Tracer_762x51_Belt_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_m240_ca.paa"
"CUP_1200Rnd_TE4_LRT4_White_Tracer_762x51_Belt_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_m240_ca.paa"
"CUP_1200Rnd_TE4_LRT4_Yellow_Tracer_762x51_Belt_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_m240_ca.paa"
"CUP_1200Rnd_TE4_Red_Tracer_762x51_M240_M","",""
"CUP_1200Rnd_TE4_White_Tracer_762x51_M240_M","",""
"CUP_120Rnd_TE4_LRT4_Green_Tracer_762x51_Belt_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_m240_ca.paa"
"CUP_120Rnd_TE4_LRT4_Red_Tracer_762x51_Belt_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_m240_ca.paa"
"CUP_120Rnd_TE4_LRT4_White_Tracer_762x51_Belt_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_m240_ca.paa"
"CUP_120Rnd_TE4_LRT4_Yellow_Tracer_762x51_Belt_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_m240_ca.paa"
"CUP_128Rnd_S5_M","",""
"CUP_12Rnd_2A46_HE_T_M","",""
"CUP_12Rnd_45ACP_mk23","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\mag_45acp_ca.paa"
"CUP_12Rnd_9x18_PMM_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_pmm_CA.paa"
"CUP_12Rnd_AT16_M","",""
"CUP_12Rnd_B_Saiga12_Bird_4","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\M_20_Saiga12K_CA.paa"
"CUP_12Rnd_B_Saiga12_Buck_0","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\M_20_Saiga12K_CA.paa"
"CUP_12Rnd_B_Saiga12_Buck_00","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\M_20_Saiga12K_CA.paa"
"CUP_12Rnd_B_Saiga12_Buck_1","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\M_20_Saiga12K_CA.paa"
"CUP_12Rnd_B_Saiga12_Buck_2","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\M_20_Saiga12K_CA.paa"
"CUP_12Rnd_B_Saiga12_Buck_3","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\M_20_Saiga12K_CA.paa"
"CUP_12Rnd_B_Saiga12_Buck_4","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\M_20_Saiga12K_CA.paa"
"CUP_12Rnd_B_Saiga12_HE","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\M_20_Saiga12K_CA.paa"
"CUP_12Rnd_B_Saiga12_Slug","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\M_20_Saiga12K_CA.paa"
"CUP_12Rnd_CRV7_C15_HE_M","",""
"CUP_12Rnd_CRV7_C15_KEP_M","",""
"CUP_12Rnd_CRV7_C18_HE_M","",""
"CUP_12Rnd_CRV7_C18_KEP_M","",""
"CUP_12Rnd_CRV7_FAT_M","",""
"CUP_12Rnd_MLRS_DPICM","",""
"CUP_12Rnd_MLRS_HE","",""
"CUP_12Rnd_pylonblank_M","",""
"CUP_12Rnd_TE1_Red_Tracer_105mmHEAT_M68_Cannon_M","",""
"CUP_1350Rnd_TE1_Red_Tracer_30mm_GAU8_M","",""
"CUP_13Rnd_9x19_Browning_HP","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_b_hp_CA.paa"
"CUP_1470Rnd_TE1_127x108_YakB_AP_M","",""
"CUP_14Rnd_CRV7_C15_HE_M","",""
"CUP_14Rnd_CRV7_C15_KEP_M","",""
"CUP_14Rnd_CRV7_C18_HE_M","",""
"CUP_14Rnd_CRV7_C18_KEP_M","",""
"CUP_14Rnd_CRV7_FAT_M","",""
"CUP_14Rnd_FFAR_In_M","",""
"CUP_14Rnd_FFAR_M","",""
"CUP_14Rnd_FFAR_Mid_M","",""
"CUP_14Rnd_FFAR_Out_M","",""
"CUP_14Rnd_S5_M","",""
"CUP_1500Rnd_TE1_Green_Tracer_762x54_PKT_M","",""
"CUP_1500Rnd_TE1_Red_Tracer_762x54_PKT_M","",""
"CUP_1500Rnd_TE1_White_Tracer_762x54_PKT_M","",""
"CUP_1500Rnd_TE1_Yellow_Tracer_762x54_PKT_M","",""
"CUP_150Rnd_127x108_KORD_M","",""
"CUP_150Rnd_TE1_Green_Tracer_30mmAP_2A42_M","",""
"CUP_150Rnd_TE1_Green_Tracer_30mmHE_2A42_M","",""
"CUP_150Rnd_TE1_Red_Tracer_30mmAP_2A42_M","",""
"CUP_150Rnd_TE1_Red_Tracer_30mmHE_2A42_M","",""
"CUP_150Rnd_TE1_White_Tracer_30mmAP_2A42_M","",""
"CUP_150Rnd_TE1_White_Tracer_30mmHE_2A42_M","",""
"CUP_150Rnd_TE1_Yellow_Tracer_30mmAP_2A42_M","",""
"CUP_150Rnd_TE1_Yellow_Tracer_30mmHE_2A42_M","",""
"CUP_150Rnd_TE2_Green_Tracer_GSh23_23mm_APHE_M","",""
"CUP_150Rnd_TE3_LRT5_127x107_DSHKM_M","",""
"CUP_1550Rnd_TE1_Red_Tracer_20mm_Phalanx_M","",""
"CUP_15Rnd_100mmHEFRAG_D10","",""
"CUP_15Rnd_9x19_M9","","\CUP\Weapons\CUP_Weapons_M9\data\ui\m_m9_beretta_ca.paa"
"CUP_16Rnd_9x19_cz75","","\A3\weapons_f\data\ui\M_16Rnd_9x21_CA.paa"
"CUP_16Rnd_OG9_HE_M","",""
"CUP_16Rnd_PG9_AT_M","",""
"CUP_16Rnd_pylonblank_M","",""
"CUP_17Rnd_2A46_HE_T_M","",""
"CUP_17Rnd_9x19_glock17","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_glock17_CA.paa"
"CUP_17Rnd_9x19_M17_Black","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_glock17_CA.paa"
"CUP_17Rnd_9x19_M17_Coyote","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_glock17_CA.paa"
"CUP_17Rnd_9x19_M17_Green","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_glock17_CA.paa"
"CUP_180Rnd_TE1_30mm_GSh301_HE_M","",""
"CUP_18Rnd_9x19_Phantom","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_glock17_CA.paa"
"CUP_1904Rnd_TE1_30mm_2A38M_HE_M","",""
"CUP_192Rnd_S5_M","",""
"CUP_19Rnd_CRV7_C15_HE_M","",""
"CUP_19Rnd_CRV7_C15_KEP_M","",""
"CUP_19Rnd_CRV7_C18_HE_M","",""
"CUP_19Rnd_CRV7_C18_KEP_M","",""
"CUP_19Rnd_CRV7_FAT_M","",""
"CUP_19Rnd_FFAR_M","",""
"CUP_1Rnd_12Gauge_HE","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_12gauge_slug_ca.paa"
"CUP_1Rnd_12Gauge_Pellets_No00_Buck","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_12gauge_ca.paa"
"CUP_1Rnd_12Gauge_Pellets_No0_Buck","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_12gauge_ca.paa"
"CUP_1Rnd_12Gauge_Pellets_No1_Buck","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_12gauge_ca.paa"
"CUP_1Rnd_12Gauge_Pellets_No2_Buck","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_12gauge_ca.paa"
"CUP_1Rnd_12Gauge_Pellets_No3_Buck","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_12gauge_ca.paa"
"CUP_1Rnd_12Gauge_Pellets_No4_Bird","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_12gauge_bird_ca.paa"
"CUP_1Rnd_12Gauge_Pellets_No4_Buck","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_12gauge_ca.paa"
"CUP_1Rnd_12Gauge_Slug","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_12gauge_slug_ca.paa"
"CUP_1Rnd_762x51_CZ584","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_M24_CA"
"CUP_1Rnd_AGM114K_Hellfire_II_M","",""
"CUP_1Rnd_AGM_2Rack_M","",""
"CUP_1Rnd_AGM_Rack_M","",""
"CUP_1Rnd_AIM_9L_Sidewinder_External_M","",""
"CUP_1Rnd_ALQ131_M","",""
"CUP_1Rnd_AT14_HE_M","",""
"CUP_1Rnd_AT14_HEAT_M","",""
"CUP_1Rnd_B_CZ584_74Pellets","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_12gauge_ca.paa"
"CUP_1Rnd_B_CZ584_74Slug","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_12gauge_slug_ca.paa"
"CUP_1Rnd_CRV7_C15_HE_M","",""
"CUP_1Rnd_CRV7_C15_KEP_M","",""
"CUP_1Rnd_CRV7_C18_HE_M","",""
"CUP_1Rnd_CRV7_C18_KEP_M","",""
"CUP_1Rnd_CRV7_Pod_12_M","",""
"CUP_1Rnd_CRV7_Pod_19_M","",""
"CUP_1Rnd_HE_GP25_M","","\CUP\Weapons\CUP_Weapons_Ammunition\Data\UI\m_gp25_he_ca.paa"
"CUP_1Rnd_HE_M203","","\A3\Weapons_f\Data\ui\gear_UGL_slug_CA.paa"
"CUP_1Rnd_HEDP_M203","","\A3\Weapons_f\Data\ui\gear_UGL_slug_CA.paa"
"CUP_1Rnd_Hydra_Pod_19_M","",""
"CUP_1Rnd_Hydra_Pod_7_M","",""
"CUP_1Rnd_Litening_M","",""
"CUP_1Rnd_M621_Pod_Heli_M","",""
"CUP_1Rnd_MK82_Rack_M","",""
"CUP_1Rnd_pylonblank_M","",""
"CUP_1Rnd_RBS70_M","","\CUP\Weapons\CUP_Weapons_Ammunition\data\ui\m_stinger_ca.paa"
"CUP_1Rnd_Sidewinder_A10_Pod_M","",""
"CUP_1Rnd_SMOKE_GP25_M","","\CUP\Weapons\CUP_Weapons_Ammunition\Data\UI\m_gp25_white_ca.paa"
"CUP_1Rnd_Smoke_M203","","\A3\Weapons_f\Data\UI\gear_UGL_Smokeshell_white_CA.paa"
